Type,Instance,Name,PresentValue,Override,Description
Analog Input,1,Facility Outdoor Air Temperature,77.01798 °F,,
Analog Input,2,Facility Outdoor Air Humidity,85.28802 %,,
Analog Output,1,Minimum Flow Setpoint Multiplier BAS|vav-1,1,1 at Level 9: Unspecified,
Analog Output,2,Source Temperature BAS|vav-1,56.491478 °F,56.491478 °F at Level 10: Unspecified,
Analog Output,3,Occupied Offset|vav-1,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,4,Space Temperature Setpoint BAS|vav-1,72.504 °F,—,
Analog Output,5,Occupied Standby Offset|vav-1,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,6,Unoccupied Cooling Setpoint|vav-1,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,7,Unoccupied Heating Setpoint|vav-1,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,8,Ventilation Setpoint BAS|vav-1,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,9,Minimum Flow Setpoint Multiplier BAS|vav-2,1,1 at Level 9: Unspecified,
Analog Output,10,Source Temperature BAS|vav-2,56.4054 °F,56.4054 °F at Level 10: Unspecified,
Analog Output,11,Occupied Offset|vav-2,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,12,Space Temperature Setpoint BAS|vav-2,72.504 °F,—,
Analog Output,13,Occupied Standby Offset|vav-2,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,14,Unoccupied Cooling Setpoint|vav-2,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,15,Unoccupied Heating Setpoint|vav-2,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,16,Ventilation Setpoint BAS|vav-2,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,17,Minimum Flow Setpoint Multiplier BAS|vav-3,1,—,
Analog Output,18,Source Temperature BAS|vav-3,56.4054 °F,56.4054 °F at Level 10: Unspecified,
Analog Output,19,Occupied Offset|vav-3,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,20,Space Temperature Setpoint BAS|vav-3,73.504 °F,73.504 °F at Level 12: Unspecified,
Analog Output,21,Occupied Standby Offset|vav-3,0 Δ°F,0 Δ°F at Level 13: Unspecified,
Analog Output,22,Unoccupied Cooling Setpoint|vav-3,84.995995 °F,—,
Analog Output,23,Unoccupied Heating Setpoint|vav-3,60.01199 °F,—,
Analog Output,24,Ventilation Setpoint BAS|vav-3,0 CFM,0 CFM at Level 5: Critical Equipment Control,
Analog Output,25,Minimum Flow Setpoint Multiplier BAS|vav-4,1,—,
Analog Output,26,Source Temperature BAS|vav-4,56.491478 °F,56.491478 °F at Level 10: Unspecified,
Analog Output,27,Occupied Offset|vav-4,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,28,Space Temperature Setpoint BAS|vav-4,72.504 °F,—,
Analog Output,29,Occupied Standby Offset|vav-4,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,30,Unoccupied Cooling Setpoint|vav-4,84.995995 °F,—,
Analog Output,31,Unoccupied Heating Setpoint|vav-4,60.01199 °F,—,
Analog Output,32,Ventilation Setpoint BAS|vav-4,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,33,Minimum Flow Setpoint Multiplier BAS|vav-5,1,—,
Analog Output,34,Source Temperature BAS|vav-5,56.491478 °F,56.491478 °F at Level 10: Unspecified,
Analog Output,35,Occupied Offset|vav-5,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,36,Space Temperature Setpoint BAS|vav-5,72.504 °F,—,
Analog Output,37,Occupied Standby Offset|vav-5,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,38,Unoccupied Cooling Setpoint|vav-5,80 °F,80 °F at Level 12: Unspecified,
Analog Output,39,Unoccupied Heating Setpoint|vav-5,60.01199 °F,—,
Analog Output,40,Ventilation Setpoint BAS|vav-5,110 CFM (OutOfService),—,
Analog Output,41,Minimum Flow Setpoint Multiplier BAS|vav-6,1,—,
Analog Output,42,Source Temperature BAS|vav-6,56.5775 °F,56.5775 °F at Level 10: Unspecified,
Analog Output,43,Occupied Offset|vav-6,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,44,Space Temperature Setpoint BAS|vav-6,72.504 °F,—,
Analog Output,45,Occupied Standby Offset|vav-6,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,46,Unoccupied Cooling Setpoint|vav-6,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,47,Unoccupied Heating Setpoint|vav-6,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,48,Ventilation Setpoint BAS|vav-6,60 CFM (OutOfService),—,
Analog Output,49,Minimum Flow Setpoint Multiplier BAS|vav-7,0.25,0.25 at Level 9: Unspecified,
Analog Output,50,Source Temperature BAS|vav-7,56.66352 °F,56.66352 °F at Level 10: Unspecified,
Analog Output,51,Occupied Offset|vav-7,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,52,Space Temperature Setpoint BAS|vav-7,72.504 °F,—,
Analog Output,53,Occupied Standby Offset|vav-7,2.5 Δ°F,2.5 Δ°F at Level 13: Unspecified,
Analog Output,54,Unoccupied Cooling Setpoint|vav-7,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,55,Unoccupied Heating Setpoint|vav-7,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,56,Ventilation Setpoint BAS|vav-7,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,57,Minimum Flow Setpoint Multiplier BAS|vav-8,0.25,0.25 at Level 9: Unspecified,
Analog Output,58,Source Temperature BAS|vav-8,56.749546 °F,56.749546 °F at Level 10: Unspecified,
Analog Output,59,Occupied Offset|vav-8,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,60,Space Temperature Setpoint BAS|vav-8,72.504 °F,—,
Analog Output,61,Occupied Standby Offset|vav-8,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,62,Unoccupied Cooling Setpoint|vav-8,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,63,Unoccupied Heating Setpoint|vav-8,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,64,Ventilation Setpoint BAS|vav-8,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,65,Minimum Flow Setpoint Multiplier BAS|vav-9,0.25,0.25 at Level 9: Unspecified,
Analog Output,66,Source Temperature BAS|vav-9,56.749546 °F,56.749546 °F at Level 10: Unspecified,
Analog Output,67,Occupied Offset|vav-9,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,68,Space Temperature Setpoint BAS|vav-9,72.504 °F,—,
Analog Output,69,Occupied Standby Offset|vav-9,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,70,Unoccupied Cooling Setpoint|vav-9,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,71,Unoccupied Heating Setpoint|vav-9,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,72,Ventilation Setpoint BAS|vav-9,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,73,Minimum Flow Setpoint Multiplier BAS|vav-10,1,—,
Analog Output,74,Source Temperature BAS|vav-10,56.749546 °F,56.749546 °F at Level 10: Unspecified,
Analog Output,75,Occupied Offset|vav-10,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,76,Space Temperature Setpoint BAS|vav-10,72.504 °F,—,
Analog Output,77,Occupied Standby Offset|vav-10,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,78,Unoccupied Cooling Setpoint|vav-10,84.995995 °F,—,
Analog Output,79,Unoccupied Heating Setpoint|vav-10,60.01199 °F,—,
Analog Output,80,Ventilation Setpoint BAS|vav-10,110 CFM (OutOfService),—,
Analog Output,81,Minimum Flow Setpoint Multiplier BAS|vav-11,0.25,0.25 at Level 9: Unspecified,
Analog Output,82,Source Temperature BAS|vav-11,56.749546 °F,56.749546 °F at Level 10: Unspecified,
Analog Output,83,Occupied Offset|vav-11,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,84,Space Temperature Setpoint BAS|vav-11,72.504 °F,—,
Analog Output,85,Occupied Standby Offset|vav-11,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,86,Unoccupied Cooling Setpoint|vav-11,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,87,Unoccupied Heating Setpoint|vav-11,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,88,Ventilation Setpoint BAS|vav-11,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,89,Minimum Flow Setpoint Multiplier BAS|vav-12,1,1 at Level 9: Unspecified,
Analog Output,90,Source Temperature BAS|vav-12,56.66352 °F,56.66352 °F at Level 10: Unspecified,
Analog Output,91,Occupied Offset|vav-12,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,92,Space Temperature Setpoint BAS|vav-12,74 °F,74 °F at Level 12: Unspecified,
Analog Output,93,Occupied Standby Offset|vav-12,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,94,Unoccupied Cooling Setpoint|vav-12,75 °F,75 °F at Level 8: Manual Operator,
Analog Output,95,Unoccupied Heating Setpoint|vav-12,73 °F,73 °F at Level 8: Manual Operator,
Analog Output,96,Ventilation Setpoint BAS|vav-12,0 CFM,0 CFM at Level 5: Critical Equipment Control,
Analog Output,97,Minimum Flow Setpoint Multiplier BAS|vav-13,1,—,
Analog Output,98,Source Temperature BAS|vav-13,56.66352 °F,56.66352 °F at Level 10: Unspecified,
Analog Output,99,Occupied Offset|vav-13,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,100,Space Temperature Setpoint BAS|vav-13,72.504 °F,—,
Analog Output,101,Occupied Standby Offset|vav-13,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,102,Unoccupied Cooling Setpoint|vav-13,80 °F,80 °F at Level 12: Unspecified,
Analog Output,103,Unoccupied Heating Setpoint|vav-13,60.01199 °F,—,
Analog Output,104,Ventilation Setpoint BAS|vav-13,110 CFM (OutOfService),—,
Analog Output,105,Minimum Flow Setpoint Multiplier BAS|vav-14,1,—,
Analog Output,106,Source Temperature BAS|vav-14,56.491478 °F,56.491478 °F at Level 10: Unspecified,
Analog Output,107,Occupied Offset|vav-14,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,108,Space Temperature Setpoint BAS|vav-14,72.504 °F,—,
Analog Output,109,Occupied Standby Offset|vav-14,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,110,Unoccupied Cooling Setpoint|vav-14,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,111,Unoccupied Heating Setpoint|vav-14,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,112,Ventilation Setpoint BAS|vav-14,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,113,Minimum Flow Setpoint Multiplier BAS|vav-15,1,—,
Analog Output,114,Source Temperature BAS|vav-15,56.749546 °F,56.749546 °F at Level 10: Unspecified,
Analog Output,115,Occupied Offset|vav-15,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,116,Space Temperature Setpoint BAS|vav-15,72.504 °F,—,
Analog Output,117,Occupied Standby Offset|vav-15,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,118,Unoccupied Cooling Setpoint|vav-15,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,119,Unoccupied Heating Setpoint|vav-15,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,120,Ventilation Setpoint BAS|vav-15,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,121,Minimum Flow Setpoint Multiplier BAS|vav-16,1,—,
Analog Output,122,Source Temperature BAS|vav-16,56.66352 °F,56.66352 °F at Level 10: Unspecified,
Analog Output,123,Occupied Offset|vav-16,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,124,Space Temperature Setpoint BAS|vav-16,72.504 °F,—,
Analog Output,125,Occupied Standby Offset|vav-16,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,126,Unoccupied Cooling Setpoint|vav-16,84.995995 °F,—,
Analog Output,127,Unoccupied Heating Setpoint|vav-16,60.01199 °F,—,
Analog Output,128,Ventilation Setpoint BAS|vav-16,110 CFM (OutOfService),—,
Analog Output,129,Minimum Flow Setpoint Multiplier BAS|vav-17,0.25,0.25 at Level 9: Unspecified,
Analog Output,130,Source Temperature BAS|vav-17,56.66352 °F,56.66352 °F at Level 10: Unspecified,
Analog Output,131,Occupied Offset|vav-17,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,132,Space Temperature Setpoint BAS|vav-17,73.5 °F,73.5 °F at Level 12: Unspecified,
Analog Output,133,Occupied Standby Offset|vav-17,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,134,Unoccupied Cooling Setpoint|vav-17,74.5 °F,74.5 °F at Level 8: Manual Operator,
Analog Output,135,Unoccupied Heating Setpoint|vav-17,72.5 °F,72.5 °F at Level 8: Manual Operator,
Analog Output,136,Ventilation Setpoint BAS|vav-17,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,137,Minimum Flow Setpoint Multiplier BAS|vav-18,1,1 at Level 9: Unspecified,
Analog Output,138,Source Temperature BAS|vav-18,56.749546 °F,56.749546 °F at Level 10: Unspecified,
Analog Output,139,Occupied Offset|vav-18,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,140,Space Temperature Setpoint BAS|vav-18,72.504 °F,—,
Analog Output,141,Occupied Standby Offset|vav-18,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,142,Unoccupied Cooling Setpoint|vav-18,73.5 °F,73.5 °F at Level 8: Manual Operator,
Analog Output,143,Unoccupied Heating Setpoint|vav-18,71.5 °F,71.5 °F at Level 8: Manual Operator,
Analog Output,144,Ventilation Setpoint BAS|vav-18,0 CFM (OutOfService),0 CFM at Level 5: Critical Equipment Control,
Analog Output,145,Minimum Flow Setpoint Multiplier BAS|vav-19,1,—,
Analog Output,146,Source Temperature BAS|vav-19,56.5775 °F,56.5775 °F at Level 10: Unspecified,
Analog Output,147,Occupied Offset|vav-19,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,148,Space Temperature Setpoint BAS|vav-19,72.504 °F,—,
Analog Output,149,Occupied Standby Offset|vav-19,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,150,Unoccupied Cooling Setpoint|vav-19,84.995995 °F,—,
Analog Output,151,Unoccupied Heating Setpoint|vav-19,60.01199 °F,—,
Analog Output,152,Ventilation Setpoint BAS|vav-19,110 CFM (OutOfService),—,
Analog Output,153,Minimum Flow Setpoint Multiplier BAS|vav-20,1,—,
Analog Output,154,Source Temperature BAS|vav-20,56.5775 °F,56.5775 °F at Level 10: Unspecified,
Analog Output,155,Occupied Offset|vav-20,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,156,Space Temperature Setpoint BAS|vav-20,72.504 °F,—,
Analog Output,157,Occupied Standby Offset|vav-20,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,158,Unoccupied Cooling Setpoint|vav-20,84.995995 °F,—,
Analog Output,159,Unoccupied Heating Setpoint|vav-20,60.01199 °F,—,
Analog Output,160,Ventilation Setpoint BAS|vav-20,30 CFM (OutOfService),—,
Analog Output,161,Minimum Flow Setpoint Multiplier BAS|vav-21,1,—,
Analog Output,162,Source Temperature BAS|vav-21,56.4054 °F,56.4054 °F at Level 10: Unspecified,
Analog Output,163,Occupied Offset|vav-21,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,164,Space Temperature Setpoint BAS|vav-21,72.504 °F,—,
Analog Output,165,Occupied Standby Offset|vav-21,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,166,Unoccupied Cooling Setpoint|vav-21,80.3 °F,80.3 °F at Level 8: Manual Operator,
Analog Output,167,Unoccupied Heating Setpoint|vav-21,64.700005 °F,64.700005 °F at Level 8: Manual Operator,
Analog Output,168,Ventilation Setpoint BAS|vav-21,110 CFM (OutOfService),—,
Analog Output,169,Minimum Flow Setpoint Multiplier BAS|vav-22,1,—,
Analog Output,170,Source Temperature BAS|vav-22,56.4054 °F,56.4054 °F at Level 10: Unspecified,
Analog Output,171,Occupied Offset|vav-22,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,172,Space Temperature Setpoint BAS|vav-22,71.5 °F,71.5 °F at Level 12: Unspecified,
Analog Output,173,Occupied Standby Offset|vav-22,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,174,Unoccupied Cooling Setpoint|vav-22,84.995995 °F,—,
Analog Output,175,Unoccupied Heating Setpoint|vav-22,60.01199 °F,—,
Analog Output,176,Ventilation Setpoint BAS|vav-22,110 CFM (OutOfService),—,
Analog Output,177,Minimum Flow Setpoint Multiplier BAS|vav-23,1,—,
Analog Output,178,Source Temperature BAS|vav-23,56.319374 °F,56.319374 °F at Level 10: Unspecified,
Analog Output,179,Occupied Offset|vav-23,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,180,Space Temperature Setpoint BAS|vav-23,71.5 °F,71.5 °F at Level 12: Unspecified,
Analog Output,181,Occupied Standby Offset|vav-23,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,182,Unoccupied Cooling Setpoint|vav-23,84.995995 °F,—,
Analog Output,183,Unoccupied Heating Setpoint|vav-23,60.01199 °F,—,
Analog Output,184,Ventilation Setpoint BAS|vav-23,30 CFM (OutOfService),—,
Analog Output,185,Minimum Flow Setpoint Multiplier BAS|vav-24,1,—,
Analog Output,186,Source Temperature BAS|vav-24,56.5775 °F,56.5775 °F at Level 10: Unspecified,
Analog Output,187,Occupied Offset|vav-24,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,188,Space Temperature Setpoint BAS|vav-24,70.504 °F,70.504 °F at Level 12: Unspecified,
Analog Output,189,Occupied Standby Offset|vav-24,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,190,Unoccupied Cooling Setpoint|vav-24,78.5 °F,78.5 °F at Level 8: Manual Operator,
Analog Output,191,Unoccupied Heating Setpoint|vav-24,62.5 °F,62.5 °F at Level 8: Manual Operator,
Analog Output,192,Ventilation Setpoint BAS|vav-24,110 CFM (OutOfService),—,
Analog Output,193,Minimum Flow Setpoint Multiplier BAS|vav-25,1,—,
Analog Output,194,Source Temperature BAS|vav-25,56.4054 °F,56.4054 °F at Level 10: Unspecified,
Analog Output,195,Occupied Offset|vav-25,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,196,Space Temperature Setpoint BAS|vav-25,71.5 °F,71.5 °F at Level 12: Unspecified,
Analog Output,197,Occupied Standby Offset|vav-25,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,198,Unoccupied Cooling Setpoint|vav-25,79 °F,79 °F at Level 8: Manual Operator,
Analog Output,199,Unoccupied Heating Setpoint|vav-25,64 °F,64 °F at Level 8: Manual Operator,
Analog Output,200,Ventilation Setpoint BAS|vav-25,110 CFM (OutOfService),—,
Analog Output,201,Minimum Flow Setpoint Multiplier BAS|vav-26,1,—,
Analog Output,202,Source Temperature BAS|vav-26,56.5775 °F,56.5775 °F at Level 10: Unspecified,
Analog Output,203,Occupied Offset|vav-26,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,204,Space Temperature Setpoint BAS|vav-26,71.5 °F,71.5 °F at Level 12: Unspecified,
Analog Output,205,Occupied Standby Offset|vav-26,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,206,Unoccupied Cooling Setpoint|vav-26,79.4 °F,79.4 °F at Level 8: Manual Operator,
Analog Output,207,Unoccupied Heating Setpoint|vav-26,63.600002 °F,63.600002 °F at Level 8: Manual Operator,
Analog Output,208,Ventilation Setpoint BAS|vav-26,110 CFM (OutOfService),—,
Analog Output,209,Minimum Flow Setpoint Multiplier BAS|vav-27,1,—,
Analog Output,210,Source Temperature BAS|vav-27,56.66352 °F,56.66352 °F at Level 10: Unspecified,
Analog Output,211,Occupied Offset|vav-27,1 Δ°F,1 Δ°F at Level 12: Unspecified,
Analog Output,212,Space Temperature Setpoint BAS|vav-27,70.5 °F,70.5 °F at Level 12: Unspecified,
Analog Output,213,Occupied Standby Offset|vav-27,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,214,Unoccupied Cooling Setpoint|vav-27,78.5 °F,78.5 °F at Level 8: Manual Operator,
Analog Output,215,Unoccupied Heating Setpoint|vav-27,62.5 °F,62.5 °F at Level 8: Manual Operator,
Analog Output,216,Ventilation Setpoint BAS|vav-27,79 CFM (OutOfService),79 CFM at Level 12: Unspecified,
Analog Output,217,Minimum Flow Setpoint Multiplier BAS|vav-28,1,—,
Analog Output,218,Source Temperature BAS|vav-28,56.5775 °F,56.5775 °F at Level 10: Unspecified,
Analog Output,219,Occupied Offset|vav-28,1 Δ°F,1 Δ°F at Level 13: Unspecified,
Analog Output,220,Space Temperature Setpoint BAS|vav-28,71.5 °F,71.5 °F at Level 12: Unspecified,
Analog Output,221,Occupied Standby Offset|vav-28,2.5 Δ°F,2.5 Δ°F at Level 12: Unspecified,
Analog Output,222,Unoccupied Cooling Setpoint|vav-28,79.4 °F,79.4 °F at Level 8: Manual Operator,
Analog Output,223,Unoccupied Heating Setpoint|vav-28,63.600002 °F,63.600002 °F at Level 8: Manual Operator,
Analog Output,224,Ventilation Setpoint BAS|vav-28,30 CFM (OutOfService),—,
Analog Output,225,spaceSetpoint|APEC Classrooms Area-1,72.504 °F,—,
Analog Output,226,occupiedOffset|APEC Classrooms Area-1,2.4912 Δ°F,—,
Analog Output,227,standbyOffset|APEC Classrooms Area-1,7.506 Δ°F,—,
Analog Output,228,occupiedHumiditySetpoint|APEC Classrooms Area-1,50 %,—,
Analog Output,229,unoccupiedHeatSetpoint|APEC Classrooms Area-1,60.012 °F,—,
Analog Output,230,unoccupiedCoolSetpoint|APEC Classrooms Area-1,84.996 °F,—,
Analog Output,231,unoccupiedHumidifyStartSetpoint|APEC Classrooms Area-1,20 %,—,
Analog Output,232,unoccupiedHumidifyStopSetpoint|APEC Classrooms Area-1,25 %,—,
Analog Output,233,unoccupiedDehumidifyStartSetpoint|APEC Classrooms Area-1,60 %,—,
Analog Output,234,unoccupiedDehumidifyStopSetpoint|APEC Classrooms Area-1,55 %,—,
Analog Output,235,deltaTemperature|APEC Classrooms Area-1,15 Δ°F,—,
Analog Output,236,outdoorAirHumidity|APEC Classrooms Area-1,85.28802 %,85.28802 % at Level 12: Unspecified,
Analog Output,237,spaceHumidity|APEC Classrooms Area-1,40 %,—,
Analog Output,238,spaceSensor|APEC Classrooms Area-1,70.2 °F,70.2 °F at Level 12: Unspecified,
Analog Output,239,outdoorSensor|APEC Classrooms Area-1,77.01798 °F,77.01798 °F at Level 12: Unspecified,
Analog Output,240,occupiedDifference|APEC Classrooms Area-1,1.008 Δ°F,—,
Analog Output,241,unoccupiedDifference|APEC Classrooms Area-1,3.996 Δ°F,—,
Analog Output,242,timedOverrideDuration|APEC Classrooms Area-1,120,—,
Analog Output,243,economizerEnableFixedDryBulb|APEC Classrooms Area-1,60 °F,—,
Analog Output,244,economizerDisableFixedDryBulb|APEC Classrooms Area-1,65 °F,—,
Analog Output,245,economizerEnableDifferentialDryBulb|APEC Classrooms Area-1,15 Δ°F,—,
Analog Output,246,economizerDisableDifferentialDryBulb|APEC Classrooms Area-1,10 Δ°F,—,
Analog Output,247,economizerEnableFixedEnthalpy|APEC Classrooms Area-1,26 BTUS_PER_POUND_DRY_AIR,—,
Analog Output,248,economizerDisableFixedEnthalpy|APEC Classrooms Area-1,28 BTUS_PER_POUND_DRY_AIR,—,
Analog Output,249,economizerEnableDifferentialEnthalpy|APEC Classrooms Area-1,4 BTUS_PER_POUND_DRY_AIR,—,
Analog Output,250,economizerDisableDifferentialEnthalpy|APEC Classrooms Area-1,3 BTUS_PER_POUND_DRY_AIR,—,
Analog Output,251,economizerEnableFixedDewPoint|APEC Classrooms Area-1,53 °F,—,
Analog Output,252,economizerDisableFixedDewPoint|APEC Classrooms Area-1,55 °F,—,
Analog Output,253,spaceSetpoint|APEC Offices Area-2,72.504 °F,—,
Analog Output,254,occupiedOffset|APEC Offices Area-2,2.4912 Δ°F,—,
Analog Output,255,standbyOffset|APEC Offices Area-2,7.506 Δ°F,—,
Analog Output,256,occupiedHumiditySetpoint|APEC Offices Area-2,50 %,—,
Analog Output,257,unoccupiedHeatSetpoint|APEC Offices Area-2,60.012 °F,—,
Analog Output,258,unoccupiedCoolSetpoint|APEC Offices Area-2,84.996 °F,—,
Analog Output,259,unoccupiedHumidifyStartSetpoint|APEC Offices Area-2,20 %,—,
Analog Output,260,unoccupiedHumidifyStopSetpoint|APEC Offices Area-2,25 %,—,
Analog Output,261,unoccupiedDehumidifyStartSetpoint|APEC Offices Area-2,60 %,—,
Analog Output,262,unoccupiedDehumidifyStopSetpoint|APEC Offices Area-2,55 %,—,
Analog Output,263,deltaTemperature|APEC Offices Area-2,15 Δ°F,—,
Analog Output,264,outdoorAirHumidity|APEC Offices Area-2,85.28802 %,85.28802 % at Level 12: Unspecified,
Analog Output,265,spaceHumidity|APEC Offices Area-2,40 %,—,
Analog Output,266,spaceSensor|APEC Offices Area-2,76.7 °F,76.7 °F at Level 12: Unspecified,
Analog Output,267,outdoorSensor|APEC Offices Area-2,77.01798 °F,77.01798 °F at Level 12: Unspecified,
Analog Output,268,occupiedDifference|APEC Offices Area-2,1.008 Δ°F,—,
Analog Output,269,unoccupiedDifference|APEC Offices Area-2,3.996 Δ°F,—,
Analog Output,270,timedOverrideDuration|APEC Offices Area-2,120,—,
Analog Output,271,economizerEnableFixedDryBulb|APEC Offices Area-2,60 °F,—,
Analog Output,272,economizerDisableFixedDryBulb|APEC Offices Area-2,65 °F,—,
Analog Output,273,economizerEnableDifferentialDryBulb|APEC Offices Area-2,15 Δ°F,—,
Analog Output,274,economizerDisableDifferentialDryBulb|APEC Offices Area-2,10 Δ°F,—,
Analog Output,275,economizerEnableFixedEnthalpy|APEC Offices Area-2,26 BTUS_PER_POUND_DRY_AIR,—,
Analog Output,276,economizerDisableFixedEnthalpy|APEC Offices Area-2,28 BTUS_PER_POUND_DRY_AIR,—,
Analog Output,277,economizerEnableDifferentialEnthalpy|APEC Offices Area-2,4 BTUS_PER_POUND_DRY_AIR,—,
Analog Output,278,economizerDisableDifferentialEnthalpy|APEC Offices Area-2,3 BTUS_PER_POUND_DRY_AIR,—,
Analog Output,279,economizerEnableFixedDewPoint|APEC Offices Area-2,53 °F,—,
Analog Output,280,economizerDisableFixedDewPoint|APEC Offices Area-2,55 °F,—,
Analog Output,281,ventRatioLimitAhu|VPEC AHU-1E VAS-1,40,—,
Analog Output,282,ventRatioLimitVav|VPEC AHU-1E VAS-1,60,—,
Analog Value,1,ductPressOptSetptRequest|VPEC AHU-1E VAS-1,2 WC,2 WC at Level 10: Unspecified,
Analog Value,2,ventOptOaSetpointCorrected|VPEC AHU-1E VAS-1,0 CFM,0 CFM at Level 10: Unspecified,
Analog Value,3,Disch Temp Stpt SC102,57 °F,57 °F at Level 16: Lowest,
